[ServerState.cpp               :  422] [14:03 56:250] _INFO [6920] [rtmp] onAck(after): sequenceNo=876243758, sentBytes=876243758, sendLimit=878743758(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 00:421] _INFO [6920] [rtmp] onAck(before): sequenceNo=877493763, sentBytes=877394751, sendLimit=878743758(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 00:421] _INFO [6920] [rtmp] onAck(after): sequenceNo=877493763, sentBytes=877493763, sendLimit=879993763(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 05:578] _INFO [6920] [rtmp] onAck(before): sequenceNo=878744460, sentBytes=878784216, sendLimit=879993763(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 05:578] _INFO [6920] [rtmp] onAck(after): sequenceNo=878744460, sentBytes=878744460, sendLimit=881244460(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 10:484] _INFO [6920] [rtmp] onAck(before): sequenceNo=879996028, sentBytes=880054972, sendLimit=881244460(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 10:484] _INFO [6920] [rtmp] onAck(after): sequenceNo=879996028, sentBytes=879996028, sendLimit=882496028(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 15:281] _INFO [6920] [rtmp] onAck(before): sequenceNo=881246879, sentBytes=881191625, sendLimit=882496028(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 15:281] _INFO [6920] [rtmp] onAck(after): sequenceNo=881246879, sentBytes=881246879, sendLimit=883746879(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 20:640] _INFO [6920] [rtmp] onAck(before): sequenceNo=882499268, sentBytes=882565982, sendLimit=883746879(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 20:640] _INFO [6920] [rtmp] onAck(after): sequenceNo=882499268, sentBytes=882499268, sendLimit=884999268(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 25:406] _INFO [6920] [rtmp] onAck(before): sequenceNo=883751633, sentBytes=883881491, sendLimit=884999268(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 25:406] _INFO [6920] [rtmp] onAck(after): sequenceNo=883751633, sentBytes=883751633, sendLimit=886251633(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 29:812] _INFO [6920] [rtmp] onAck(before): sequenceNo=885005047, sentBytes=884801769, sendLimit=886251633(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:04 29:812] _INFO [6920] [rtmp] onAck(after): sequenceNo=885005047, sentBytes=885005047, sendLimit=887505047(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:04 35:468] _INFO [6920] [rtmp] onAck(before): sequenceNo=886255123, sentBytes=886601977, sendLimit=887505047(type:3, code:0x00400000)
